Review,Aspects,Sentiment
"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","['food', 'place']","['positive', 'neutral']"
"Though the service might be a little slow, the waitresses are very friendly.","['service', 'staff']","['negative', 'positive']"
After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"['service', 'staff']","['negative', 'positive']"
"Towards the end of our meal, a server came out, apparently our orders had been double-filled.","['food', 'staff']","['neutral', 'negative']"
"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.","['menu', 'place']","['positive', 'neutral']"
"Upon entering, I was impressed by the room while the food on other peoples' tables seemed enticing.","['food', 'place']","['neutral', 'positive']"
"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.","['staff', 'food']","['positive', 'neutral']"
"I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.","['food', 'staff', 'ambience']","['positive', 'positive', 'neutral']"
"Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.","['food', 'service']","['negative', 'neutral']"
"Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.","['staff', 'food', 'menu']","['negative', 'neutral', 'neutral']"
I went back (with my cold soups) They said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.,"['food', 'ambience']","['neutral', 'negative']"
"Server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention.","['staff', 'place']","['positive', 'neutral']"
"Went for an early V-Day dinner, only to be highly disappointed by the service.","['food', 'service']","['neutral', 'negative']"
Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.,"['food', 'staff']","['neutral', 'negative']"
The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.,"['service', 'staff', 'menu']","['positive', 'positive', 'neutral']"
"I still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours.","['price', 'food']","['negative', 'neutral']"
"It is the only all Austrian wine list in the country and the waitress gladly broke it down for me, so I could find just the right wine for my meal.","['food', 'staff']","['neutral', 'positive']"
its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.,"['place', 'food']","['positive', 'neutral']"
The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.,"['staff', 'food', 'service']","['negative', 'neutral', 'negative']"
"worst margaritas in town,if you are going to order a battle of (white wine)they served hot.","['food', 'service']","['negative', 'neutral']"
"They served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering.","['food', 'staff']","['neutral', 'negative']"
"After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.","['staff', 'place', 'food']","['negative', 'neutral', 'neutral']"
"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.","['place', 'menu']","['negative', 'neutral']"
"Although the service can be a bit brusque at times, the food is always good, hearty and hot.","['service', 'food']","['negative', 'positive']"
"The Food Despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish.","['food', 'menu']","['positive', 'neutral']"
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,"['ambience', 'food']","['neutral', 'positive']"
"Be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer DJ make the wait more than bearable.","['place', 'staff']","['neutral', 'negative']"
We started with the guacamole and this is by far the best I've ever had bar none.,"['food', 'place']","['positive', 'neutral']"
"If you eat here, just keep in mind that the specials are much higher than the regular menu when ordering.","['food', 'menu']","['positive', 'neutral']"
the tables are in the back and the ambience was less to be desired.,"['place', 'ambience']","['neutral', 'negative']"
"While service is still ok, the food has been not up to par on my last few visits.","['service', 'food']","['positive', 'negative']"
"After the wine experience, I actually expected worse than what was served.","['food', 'service']","['neutral', 'negative']"
I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.,"['place', 'ambience']","['neutral', 'positive']"
"Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.","['staff', 'food']","['negative', 'neutral']"
"The food at Cafe Asean is to die for, and the prices are unmatchable.","['food', 'price']","['positive', 'negative']"
"The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.","['food', 'place']","['positive', 'neutral']"
"Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.","['food', 'service', 'ambience']","['neutral', 'negative', 'neutral']"
"They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)","['place', 'food', 'staff']","['neutral', 'positive', 'positive']"
Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.,"['staff', 'food']","['negative', 'neutral']"
"The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).","['staff', 'food']","['negative', 'neutral']"
"Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.","['service', 'ambience', 'food']","['negative', 'negative', 'positive']"
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.","['menu', 'food']","['neutral', 'positive']"
"Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.","['food', 'place']","['neutral', 'positive']"
The food was served promptly and was really hot.,"['food', 'service']","['positive', 'neutral']"
"The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.","['place', 'service', 'staff', 'food']","['positive', 'neutral', 'positive', 'neutral']"
I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).,"['food', 'ambience']","['neutral', 'positive']"
"The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.","['service', 'food']","['negative', 'neutral']"
"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.","['ambience', 'place']","['positive', 'negative']"
We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.,"['food', 'service']","['neutral', 'negative']"
"Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.","['staff', 'food']","['positive', 'negative']"
Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).,"['food', 'menu']","['negative', 'neutral']"
"My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.","['food', 'service']","['neutral', 'negative']"
Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).,"['staff', 'food']","['negative', 'neutral']"
Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.,"['staff', 'service']","['neutral', 'negative']"
